Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,GrossSalary,DailyRate,MonthlyIncome
49,No,Rarely,Marketing,20,4,Marketing,Female,Senior,Married,1,16,2,15,11,3,3,1,3,3,2,5,3429,156,2400
43,No,Frequently,Marketing,28,3,Marketing,Female,Senior,Single,4,18,2,3,2,2,4,3,3,4,3,1,3394,154,2376
50,No,Frequently,Audit,12,3,Comptabilite,Female,Manager,Single,4,16,3,2,2,3,3,4,3,4,3,2,6429,292,4500
31,Yes,Rarely,Audit,20,3,Comptabilite,Female,Junior,Married,3,4,2,2,2,2,1,3,3,3,3,2,1571,72,1100
41,No,Rarely,Audit,9,1,Comptabilite,Male,Manager,Divorced,3,12,2,9,7,3,3,3,3,3,3,0,6429,292,4500
26,No,Rarely,HR,25,1,HR,Female,Junior,Married,1,8,3,8,7,3,3,3,4,4,3,5,2000,91,1400
36,No,Rarely,Marketing,6,2,Marketing,Male,Senior,Divorced,6,7,0,3,2,2,3,2,4,4,3,0,3429,156,2400
51,Yes,Frequently,Marketing,8,4,Gestion,Male,Director,Single,2,18,2,4,2,4,4,4,3,4,3,2,3786,172,2650
39,No,Rarely,Audit,4,4,Comptabilite,Female,Senior,Married,4,17,1,15,11,4,2,3,3,3,4,5,3429,156,2400
25,No,Rarely,Audit,28,3,Comptabilite,Male,Junior,Married,2,6,3,2,2,1,2,3,3,4,3,2,2000,91,1400
30,No,Rarely,HR,9,3,HR,Male,Junior,Married,0,12,2,11,9,3,3,4,3,4,1,4,2000,91,1400
32,Yes,Rarely,Marketing,9,3,Gestion,Female,Junior,Single,7,10,2,5,4,1,3,1,4,1,4,0,2000,91,1400
45,No,Rarely,Marketing,29,3,Gestion,Male,Manager,Single,5,9,2,6,5,3,3,4,3,2,2,0,5000,227,3500
38,No,Rarely,Marketing,3,5,Gestion,Female,Senior,Single,3,19,2,3,2,4,3,3,4,2,3,2,3394,154,2376
30,No,Rarely,Payrol,18,3,Droit,Female,Junior,Single,1,5,4,5,4,1,3,3,3,3,2,0,2000,91,1400
32,No,Frequently,Audit,9,2,Comptabilite,Male,Junior,Divorced,0,9,2,8,7,4,1,4,3,4,4,0,2000,91,1400
30,No,Rarely,Payrol,5,3,Droit,Female,Junior,Divorced,5,8,3,3,2,4,3,1,3,4,3,2,2000,91,1400
30,No,Rarely,Payrol,2,1,Droit,Male,Junior,Single,0,6,3,5,3,2,2,4,3,4,3,1,2000,91,1400
41,No,Frequently,Payrol,10,3,Droit,Male,Manager,Divorced,4,21,2,7,6,4,2,2,3,2,2,7,5000,227,3500
41,No,Rarely,Payrol,9,4,Droit,Male,Manager,Married,2,7,2,5,0,3,3,2,4,4,3,1,5000,227,3500
19,No,Rarely,Payrol,3,1,Droit,Female,Junior,Single,1,1,3,1,0,2,3,2,3,4,3,0,2857,130,2000
40,No,Frequently,Payrol,26,3,Droit,Female,Senior,Divorced,1,20,2,20,7,2,3,2,3,1,3,2,3429,156,2400
35,No,Rarely,Audit,1,5,Comptabilite,Male,Junior,Married,1,10,3,10,8,3,3,2,3,1,3,0,2857,130,2000
53,No,Rarely,Audit,6,2,Comptabilite,Male,Director,Married,2,13,3,7,7,2,3,3,4,4,1,0,3786,172,2650
45,No,Rarely,Payrol,9,3,Droit,Male,Manager,Divorced,8,20,2,17,9,2,3,2,3,3,1,0,7857,357,5500
32,No,Frequently,Audit,8,3,Comptabilite,Female,Junior,Single,1,9,2,9,8,2,3,4,3,4,3,3,2857,130,2000
29,No,Never,Payrol,1,1,Droit,Male,Junior,Married,1,10,1,10,7,4,3,3,3,1,3,0,2857,130,2000
51,No,Rarely,Payrol,7,4,Droit,Male,Director,Married,2,10,2,1,0,4,4,3,3,3,3,1,3786,172,2650
58,No,Rarely,Payrol,9,3,Droit,Female,Director,Married,4,23,3,1,0,2,3,4,4,3,2,1,3786,172,2650
40,No,Rarely,Audit,4,4,Comptabilite,Male,Senior,Married,7,15,2,12,11,3,2,4,3,1,2,2,3429,156,2400
34,No,Frequently,Audit,2,4,Comptabilite,Female,Junior,Married,6,6,3,4,3,3,3,3,3,4,3,1,2143,98,1500
22,No,Rarely,Payrol,19,1,Droit,Male,Junior,Married,1,2,6,2,2,3,3,4,4,1,3,2,2143,98,1500
27,No,Never,Payrol,9,3,Droit,Male,Junior,Divorced,6,6,1,2,2,4,3,2,3,4,1,2,2143,98,1500
28,No,Rarely,Payrol,21,3,Droit,Male,Junior,Married,1,5,2,5,2,3,3,4,3,3,1,0,2143,98,1500
57,No,Rarely,Payrol,24,2,Droit,Male,Director,Divorced,3,12,2,5,3,4,4,4,3,3,1,2,3786,172,2650
27,No,Never,TAX,3,3,Fiscalite,Male,Junior,Divorced,1,1,2,1,1,3,2,3,3,4,2,0,2143,98,1500
50,No,Rarely,TAX,11,3,Fiscalite,Female,Manager,Single,3,21,5,5,4,3,3,2,3,2,3,4,7857,357,5500
41,No,Rarely,TAX,14,3,Fiscalite,Male,Manager,Divorced,4,13,2,9,8,2,3,3,3,2,3,1,7857,357,5500
30,No,Rarely,Audit,5,3,Comptabilite,Female,Junior,Married,2,12,2,10,9,2,3,4,3,3,3,7,2143,98,1500
38,No,Rarely,Audit,1,4,Comptabilite,Female,Senior,Single,4,12,2,8,3,1,2,4,4,3,4,0,3429,156,2400
32,No,Rarely,TAX,6,5,Fiscalite,Male,Junior,Single,3,8,2,5,4,3,3,3,4,1,3,1,2143,98,1500
27,No,Rarely,TAX,17,3,Fiscalite,Male,Junior,Married,0,6,3,5,2,3,3,2,3,4,2,1,2143,98,1500
19,Yes,Frequently,Audit,1,1,Comptabilite,Female,Junior,Single,0,1,5,0,0,3,1,1,4,1,4,0,2143,98,1500
36,No,Frequently,TAX,3,2,Fiscalite,Male,Senior,Single,4,13,3,8,7,4,3,2,3,3,2,7,3394,154,2376
30,No,Never,TAX,9,3,Fiscalite,Male,Junior,Divorced,1,12,4,12,9,3,3,1,3,3,3,6,2143,98,1500
45,No,Rarely,Audit,4,2,Comptabilite,Female,Manager,Divorced,4,9,3,5,4,3,3,2,3,2,4,0,7857,357,5500
56,No,Rarely,TAX,8,3,Fiscalite,Female,Director,Divorced,4,19,3,2,2,3,3,4,3,3,3,0,4286,195,3000
33,No,Rarely,TAX,2,3,Fiscalite,Male,Junior,Single,0,4,2,3,1,3,3,4,3,1,4,0,2857,130,2000
19,Yes,Rarely,TAX,2,3,Fiscalite,Male,Junior,Single,1,1,3,1,0,2,2,4,4,3,2,1,2857,130,2000
46,No,Rarely,Audit,1,2,Comptabilite,Female,Manager,Divorced,1,24,2,24,13,2,3,1,4,3,3,15,7857,357,5500
38,No,Rarely,TAX,9,2,Fiscalite,Female,Senior,Single,1,2,3,2,2,3,3,4,3,3,3,2,3429,156,2400
31,No,Rarely,TAX,12,1,Fiscalite,Female,Junior,Married,8,7,0,4,2,3,3,4,4,3,3,0,2857,130,2000
34,No,Rarely,TAX,27,2,Fiscalite,Female,Junior,Single,2,9,3,3,2,4,3,2,3,4,3,1,2857,130,2000
41,Yes,Rarely,Audit,20,2,Comptabilite,Female,Manager,Single,1,4,5,4,3,2,3,2,4,4,2,0,4286,195,3000
50,No,Rarely,TAX,1,3,Fiscalite,Male,Manager,Married,2,5,2,3,2,3,2,3,3,4,2,0,4286,195,3000
53,No,Rarely,TAX,13,2,Fiscalite,Female,Director,Divorced,1,22,3,4,2,4,4,4,3,3,3,2,4286,195,3000
33,No,Rarely,Sales,14,3,DataScience,Female,Junior,Married,1,8,5,8,7,4,3,2,3,4,3,1,2857,130,2000
40,No,Rarely,Sales,4,1,DataScience,Female,Senior,Married,1,21,2,20,8,4,3,3,3,2,3,9,3429,156,2400
55,No,Rarely,Sales,14,4,DataScience,Male,Partner,Married,8,36,3,24,8,4,4,4,4,4,3,16,,,
34,No,Frequently,Sales,2,1,DataScience,Male,Junior,Married,1,10,2,10,9,4,2,3,3,3,2,1,2857,130,2000
51,No,Rarely,Sales,3,3,DataScience,Female,Partner,Divorced,3,21,2,18,9,4,4,4,4,3,3,9,,,
52,No,Rarely,Sales,1,4,DataScience,Male,Partner,Married,4,34,2,30,10,4,4,3,4,3,3,20,,,
27,No,Rarely,Sales,9,3,Marketing,Female,Junior,Single,1,7,2,7,7,4,3,2,3,4,2,0,2857,130,2000
35,Yes,Rarely,Sales,23,2,Marketing,Male,Junior,Married,3,8,1,1,0,2,2,3,3,1,3,0,1571,72,1100
43,No,Never,Sales,7,3,Marketing,Male,Manager,Divorced,4,7,3,5,4,4,4,4,3,4,4,2,4286,195,3000
45,No,Never,Sales,2,2,Marketing,Male,Manager,Married,9,22,1,20,8,2,2,4,4,4,3,11,4286,195,3000
37,No,Rarely,Sales,21,3,Marketing,Male,Senior,Married,1,8,3,8,7,2,4,1,3,1,2,1,3394,154,2376
35,No,Frequently,Sales,2,3,Marketing,Female,Junior,Single,5,10,5,6,2,2,3,2,3,4,3,1,1571,72,1100
42,No,Never,Sales,21,2,Administration,Female,Manager,Divorced,2,11,5,5,3,3,3,3,3,2,3,0,4286,195,3000
38,No,Rarely,Sales,2,4,Administration,Male,Senior,Married,9,14,3,1,0,4,3,3,3,2,3,0,3394,154,2376
38,No,Rarely,Sales,29,3,Administration,Male,Senior,Married,3,9,3,7,7,4,3,4,3,1,1,1,3429,156,2400
27,No,Frequently,Sales,1,1,Administration,Male,Junior,Married,5,6,1,2,2,3,2,1,3,3,3,2,1571,72,1100
49,No,Never,Sales,18,4,Administration,Male,Manager,Divorced,1,7,0,7,7,4,3,4,3,2,3,1,5000,227,3500
34,No,Frequently,Sales,10,4,Gestion,Male,Junior,Divorced,1,5,4,5,3,4,3,3,3,4,4,2,1571,72,1100
40,No,Rarely,Sales,19,2,Gestion,Male,Senior,Married,8,15,2,7,2,3,3,4,3,3,4,3,5631,257,3942
38,Yes,Rarely,Sales,29,1,Gestion,Male,Senior,Married,7,17,2,1,0,2,3,1,3,2,3,0,5631,257,3942
29,Yes,Rarely,Audit,27,3,Comptabilite,Female,Junior,Married,1,10,3,10,4,2,3,4,4,4,2,1,1571,72,1100
22,No,Rarely,TECH,5,3,Informatique,Male,Junior,Divorced,1,4,2,4,2,4,4,2,3,1,2,2,1571,72,1100
36,No,Frequently,TECH,18,1,Informatique,Female,Senior,Single,1,8,2,8,1,2,3,4,3,1,3,1,3394,154,2376
40,No,Never,TECH,9,5,Informatique,Male,Senior,Married,9,5,5,3,2,4,2,4,3,4,1,0,5631,257,3942
46,No,Rarely,TECH,1,4,Informatique,Male,Manager,Divorced,7,17,3,4,2,4,3,2,3,3,3,0,5000,227,3500
